uuid,사업자명,리뷰본문,키워드
ea96e7a3-4982-4e41-8ba0-70e5bccc7f41,콜트레인,"친구 추천으로 방문했는데 인테리어도, 전체적인 분위기도 정말 좋았습니다. 와인도 추천 받았는데, 저는 만족했어요.
재즈는 잘 모르는데도 부담 없이 듣기에 좋았고, 사장님이 선곡에도 신경을 많이 쓰시는 것 같았어요. 
사실 LP 재즈 바 라고 해서 좀 긴장하고 갔는데 그런 부담 같은거 안 가져도 되겠더라구요. 바 좌석이나 창가 좌석도 있어서 간단히 혼술 하기에도 좋을 것 같아요.
기회가 되면 지나가다 종종 찾아올 것 같습니다. 오래오래 장사해주세요.","메뉴 구성이 알차요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요, 화장실이 깨끗해요"
ed8ad132-967d-4808-ba4b-d42833446834,콜트레인,대화하기도 좋고 안락하고 술도 종류 다양하고 시그니처 메뉴도있어서 만족스러웠습니다. 노래 선곡도 좋았어요.,"술이 다양해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요"
11e9f3ad-302d-4d70-b709-a77d39fbceee,콜트레인,친구랑 분위기 좋은 바 찾아서 왔는데 이 근처에서 가장 좋은 바인거 같아요!!! 분위기도 음악도 정말 좋고 인테리어도 정말 멋집니다!!! 사장님도 직원분들도 모두 친절하시고 술 종류가 다양해요!! 음식도 맛있고 모두 만족스러운 곳이었어요☺️☺️,"음식이 맛있어요, 술이 다양해요, 음료가 맛있어요, 인테리어가 멋져요, 음악이 좋아요"
f345ef68-9b50-48a4-aae8-36a1b9f1796c,콜트레인,"1층에서 식사하고 2차로 3층 LP바 고고^^
가족들모임이라 논알콜칵테일로….분위기, 인테리어  모드 좋아요. 거기에 재즈음악까지 
을지로 가시면 꼭 가보세요🤗🤗","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요"
5e56281f-a2d3-45fd-862b-f9dbf19efd18,콜트레인,우연히 지나가다 발견해서 갔는데 분위기가 너무 좋았어요! 음악도 제 취향.. 무엇보다 술과 음악에 진심이신 사장님이 계셔서 더욱 즐거워지는 곳입니다! :),"술이 다양해요, 친절해요, 인테리어가 멋져요, 음악이 좋아요"
0366082a-555a-4a85-8608-8df0bffa314f,콜트레인,"사장님이 직접 고르고 모으신 재즈 LP들과 멋진 인테리어로 누구와 함께 방문해도 너무나 좋은곳이라고 생각됩니다!! 잔술과 잔와인, 칵테일들도 팔고 음식들도 전부 너무 맛있고 퀄리티 좋게 나와요
을지로에 이 가격에 좋은 시간을 보낼 수 있는 장소가 생겨서 너무 기쁘고, 단골이 될거같아요!!","친절해요, 매장이 청결해요, 인테리어가 멋져요, 음악이 좋아요, 음식이 맛있어요"
29dd2d5d-f13f-404c-ba43-b6814572f467,콜트레인,"을지로에 편안한 무드의 신상 LP바가 생겼어요😄

압구정 피터폴앤드메리의 사장님이 야심차게 여신 공간으로 우드 감성 가득한 넓고 안락한 공간에서 LP감성 느끼며 음악감상하기 좋은 곳이에요

LP는 수시로 갈아주시며 음악은 잔잔한 재즈 위주.
특히 스피커가 유명한 거라 음질이 넘 선명하고 좋았는데 lp음악 들으러 혼술하러 와도 좋을 것 같아요📣","인테리어가 멋져요, 음악이 좋아요, 혼술하기 좋아요, 매장이 넓어요, 사진이 잘 나와요"
a6433c01-c0b5-46f6-9508-9fa75d9aa83c,콜트레인,한국에서 파라곤으로 미국 초반을 들을 수 있는 곳입니다. 음악에 대한 사장님의 진심어린 애정이 느껴지는 공간입니다. 옆자리에 재즈 좋아하시는 손님이랑 음악 얘기도 나누고 사장님의 선곡으로 음악도 들으면서 정말로 좋은 시간 보냈습니다. 재즈 좋아하시면 꼭 방문해보세요 🎺🎷,"특별한 메뉴가 있어요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요, 혼술하기 좋아요"
1f198827-a299-43a2-9c3f-58c9049c9ed6,콜트레인,분위기 최고의 LP바 입니다,"술이 다양해요, 음악이 좋아요"
3ce1a925-0ee1-42a7-a13d-1ceedf2b7aff,솔솥 센터원점,"아이, 어른이 고르게 고를 수 있는 다양한 메뉴가 있어서 가족모임하기 아주 좋아요.
맛있고 매장도 아주 쾌적합니다.","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 친절해요, 매장이 청결해요"
349b55e7-b525-4276-8eb1-64c96dfefc93,솔솥 센터원점,"음식이 맛있고 메뉴가 다양해서 좋아요!
직원분들도 친절하세요~
맛있게 잘 먹었습니다!!","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요"
0d6b630e-99a1-495a-81f0-1c4da6c772e5,솔솥 센터원점,🧡🧡실패없는 솔솥 도미관자!!🤤🐟🧡,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 매장이 청결해요"
34870c03-66d5-4fcc-8d40-d132c3ed6b68,솔솥 센터원점,"점심시간 지나서와서 대기 없이 들어왔습니다.
엄마랑 식사하러 왔는데 음식도 깔끔하게 나오고 솥밥 종류도 많아서 특별한 음식 느낌이예요.!
양이 보기보다 엄청 푸짐하네요!","대화하기 좋아요, 음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요"
